state,suburb,count,home_care_places,residential_places,restorative_care_places,total,hcp_perc,rp_perc,rcp_perc,total_perc
NSW,EAST GOSFORD,1,0,39,0,39,0,1.796680287653121e-4,0,1.7485574401119076e-4
NSW,EAST LISMORE,1,0,130,0,130,0,5.988934292177069e-4,0,5.828524800373026e-4
NSW,EAST MAITLAND,3,0,111,0,111,0,5.113628511012729e-4,0,4.97666348339543e-4
NSW,EAST NOWRA,1,0,0,0,0,0,0,0,0
NSW,EASTWOOD,2,0,96,0,96,0,4.422597631146144e-4,0,4.304141391044696e-4
NSW,EDEN,3,0,113,0,113,0,5.205765961661606e-4,0,5.066333095708861e-4
NSW,EDGECLIFF,1,0,40,0,40,0,1.84274901297756e-4,0,1.7933922462686232e-4
NSW,EDGEWORTH,3,0,131,0,131,0,6.035003017501509e-4,0,5.873359606529741e-4
NSW,ELEEBANA,1,0,52,0,52,0,2.395573716870828e-4,0,2.3314099201492104e-4
NSW,ELERMORE VALE,2,0,228,0,228,0,0.0010503669373972092,0,0.0010222335803731152
NSW,ELIZABETH BAY,1,0,154,0,154,0,7.094583699963605e-4,0,6.904560148134199e-4
NSW,EMMAVILLE,1,7,13,0,20,0.006427915518824609,5.98893429217707e-5,0,8.966961231343116e-5
NSW,EMU PLAINS,1,0,59,0,59,0,2.718054794141901e-4,0,2.6452535632462193e-4
NSW,ENGADINE,1,0,156,0,156,0,7.186721150612484e-4,0,6.99422976044763e-4
NSW,EPPING,3,0,106,0,106,0,4.883284884390534e-4,0,4.752489452611852e-4
NSW,ERINA,11,0,566,0,566,0,0.0026074898533632474,0,0.002537650028470102
NSW,ERMINGTON,1,0,101,0,101,0,4.652941257768339e-4,0,4.528315421828274e-4
NSW,ETTALONG BEACH,1,0,0,0,0,0,0,0,0
NSW,EUGOWRA,1,0,13,0,13,0,5.98893429217707e-5,0,5.828524800373026e-5
NSW,FAIRFIELD,5,0,221,0,221,0,0.0010181188296701019,0,9.908492160634144e-4
NSW,FIGTREE,3,0,299,0,299,0,0.001377454887200726,0,0.001340560704085796
NSW,FINGAL BAY,1,0,52,0,52,0,2.395573716870828e-4,0,2.3314099201492104e-4
NSW,FINLEY,2,0,75,0,75,0,3.455154399332925e-4,0,3.362610461753669e-4
NSW,FIVE DOCK,1,0,59,0,59,0,2.718054794141901e-4,0,2.6452535632462193e-4
NSW,FORBES,1,0,130,0,130,0,5.988934292177069e-4,0,5.828524800373026e-4
NSW,FORESTVILLE,2,0,75,0,75,0,3.455154399332925e-4,0,3.362610461753669e-4
NSW,FORSTER,4,0,260,0,260,0,0.0011977868584354138,0,0.0011657049600746051
NSW,FREDERICKTON,1,0,178,0,178,0,8.200233107750141e-4,0,7.980595495895373e-4
NSW,FREEMANS REACH,2,0,0,0,0,0,0,0,0
NSW,FRENCHS FOREST,4,0,0,0,0,0,0,0,0
NSW,FRENSCHS FOREST,1,0,0,0,0,0,0,0,0
NSW,GALSTON,1,0,74,0,74,0,3.409085674008486e-4,0,3.317775655596953e-4
NSW,GARDEN SUBURB,1,0,85,0,85,0,3.915841652577315e-4,0,3.8109585233208243e-4
NSW,GARDEN SUBURBS,4,0,0,0,0,0,0,0,0
NSW,GEORGES HALL,4,0,295,0,295,0,0.0013590273970709504,0,0.0013226267816231097
NSW,GERRINGONG,2,0,122,0,122,0,5.620384489581558e-4,0,5.469846351119301e-4
NSW,GILEAD,2,0,164,0,164,0,7.555270953207995e-4,0,7.352908209701355e-4
NSW,GILGANDRA,5,5,77,0,82,0.004591368227731864,3.5472918499818027e-4,0,3.6764541048506775e-4
NSW,Girraween,1,0,0,0,0,0,0,0,0
NSW,GLADESVILLE,2,0,149,0,149,0,6.86424007334141e-4,0,6.680386117350622e-4
NSW,GLEBE,12,0,0,5,5,0,0,0.0010235414534288639,2.241740307835779e-5
NSW,GLEN INNES,5,0,137,0,137,0,6.311415369448142e-4,0,6.142368443470034e-4
NSW,GLENFIELD,4,0,601,0,601,0,0.0027687303919987838,0,0.0026945718500186065
NSW,GLENFIELD PARK,2,0,0,0,0,0,0,0,0
NSW,GLENHAVEN,2,0,183,0,183,0,8.430576734372336e-4,0,8.204769526678951e-4
NSW,GLENROY,1,0,90,0,90,0,4.14618527919951e-4,0,4.0351325541044023e-4
NSW,GLOUCESTER,2,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,GOODOOGA,1,0,0,0,0,0,0,0,0
NSW,GOONELLABAH,11,0,230,0,230,0,0.0010595806824620969,0,0.0010312005416044585
NSW,GORDON,2,0,45,0,45,0,2.073092639599755e-4,0,2.0175662770522012e-4
NSW,GORMANS HILL,1,0,130,0,130,0,5.988934292177069e-4,0,5.828524800373026e-4
NSW,GOROKAN,2,0,65,0,65,0,2.9944671460885346e-4,0,2.914262400186513e-4
NSW,GOSFORD,4,0,0,0,0,0,0,0,0
NSW,GOSFORD WEST,1,0,106,0,106,0,4.883284884390534e-4,0,4.752489452611852e-4
NSW,GOULBURN,9,0,336,0,336,0,0.0015479091709011503,0,0.0015064494868656435
