lga_new,ages60andUp,ages65andUp,ages70andUp,ages75andUp,ages80andUp,ages85andUp
MOSMAN,7626,6011,4420,2776,1697,969
MOSMAN PARK,2166,1676,1147,700,374,179
MOUNT ALEXANDER,6441,4839,3245,1963,1118,588
MOUNT BARKER,7575,5464,3632,2085,1211,615
MOUNT GAMBIER,6581,4965,3561,2329,1402,729
MOUNT ISA,2153,1418,846,459,190,56
MOUNT MAGNET,129,81,43,16,6,4
MOUNT MARSHALL,100,69,45,20,10,6
MOUNT REMARKABLE,1056,779,539,304,167,82
MOYNE,4439,3212,2100,1232,698,352
MUKINBUDIN,148,99,62,38,28,8
MUNDARING,9286,6740,4465,2555,1342,615
MURCHISON,21,12,6,4,0,0
MURRAY,5018,3834,2640,1604,863,338
MURRAY BRIDGE,5640,4376,3131,1934,1108,543
MURRAY RIVER,4077,3163,2279,1366,752,369
MURRINDINDI,4601,3344,2214,1187,625,292
MURRUMBIDGEE,942,703,485,299,169,74
MURWEH,960,664,444,287,161,85
MUSWELLBROOK,3001,2143,1429,853,457,204
NAMBUCCA,7140,5468,3804,2312,1359,697
NANNUP,506,376,229,115,34,16
NAPRANUM,73,38,19,10,5,5
NARACOORTE AND LUCINDALE,2114,1589,1125,692,420,220
NAREMBEEN,243,186,147,93,59,38
NARRABRI,3125,2323,1597,997,538,238
NARRANDERA,1664,1256,890,574,343,184
NARROGIN,1356,1007,685,436,274,134
NARROMINE,1784,1335,948,614,371,175
NEDLANDS,5523,4164,2921,1822,1112,631
NEWCASTLE,33860,24963,17683,11559,7225,3933
NGAANYATJARRAKU,164,96,72,21,7,5
NILLUMBIK,13293,9036,5584,3040,1555,726
NOOSA,18059,13716,9365,5585,3002,1477
NORTH BURNETT,3335,2540,1799,1096,603,308
NORTH SYDNEY,14573,10837,7395,4432,2439,1269
NORTHAM,2810,2033,1339,775,425,199
NORTHAMPTON,1053,729,448,260,128,55
NORTHERN AREAS,1455,1088,759,455,256,138
NORTHERN BEACHES,58942,44947,32656,21173,12852,7001
NORTHERN GRAMPIANS,3726,2857,1940,1238,700,345
NORTHERN MIDLANDS,3869,2838,1918,1114,608,263
NORTHERN PENINSULA AREA,208,123,56,20,13,8
NORWOOD PAYNEHAM ST PETERS,9357,7232,5376,3679,2423,1367
NUNGARIN,65,41,24,20,9,3
OBERON,1552,1190,775,420,218,94
ONKAPARINGA,40808,30392,20379,12035,6923,3455
ORANGE,9144,6946,4913,3154,1914,935
ORROROO - CARRIETON,335,246,173,115,72,41
PALM ISLAND,201,100,48,16,5,4
PALMERSTON,3068,1825,994,514,239,100
PARKES,3887,2876,2024,1340,824,423
PAROO,445,299,206,115,60,23
PARRAMATTA,41504,30240,21171,13551,8165,4230
PENRITH,35000,24419,15534,8882,4817,2289
PEPPERMINT GROVE,454,328,235,141,83,54
PERENJORI,109,56,25,14,8,4
PERTH,4427,3136,2130,1250,663,299
PETERBOROUGH,650,478,331,203,114,58
PINGELLY,408,291,195,119,60,22
PLANTAGENET,1522,1109,732,434,233,107
PLAYFORD,15642,11275,7838,4983,2935,1339
PORMPURAAW,69,41,14,1,1,0
PORT ADELAIDE ENFIELD,26250,19421,13720,9017,5734,3185
PORT AUGUSTA,3209,2340,1575,935,502,225
PORT HEDLAND,1128,608,318,162,65,42
PORT LINCOLN,3652,2774,1980,1311,764,397
PORT MACQUARIE-HASTINGS,28782,22913,16761,10718,6277,3250
PORT PHILLIP,18718,13470,8946,5270,3049,1547
PORT PIRIE CITY AND DISTS,4898,3805,2731,1725,986,503
PORT STEPHENS,21888,16956,11887,7039,3805,1801
PROSPECT,4279,3004,2014,1306,828,470
PYRENEES,2541,1866,1207,658,361,169
QUAIRADING,370,267,186,115,59,27
QUEANBEYAN-PALERANG REGIONAL,10683,7348,4690,2726,1418,632
QUEENSCLIFFE,1498,1210,899,579,353,182
QUILPIE,159,84,51,25,10,5
RANDWICK,26864,20303,14607,9532,5864,3133
RAVENSTHORPE,504,391,260,140,60,23
REDLAND,38061,28388,19341,11737,6715,3411
RENMARK PARINGA,2756,2094,1417,898,528,274
RICHMOND,177,124,79,48,28,15
RICHMOND VALLEY,6955,5322,3724,2343,1375,664
ROBE,485,364,275,168,82,39
ROCKHAMPTON,16539,12096,8492,5518,3243,1616
ROCKINGHAM,22868,16738,11662,7142,3952,1826
ROPER GULF,616,356,187,98,40,12
ROXBY DOWNS,227,97,49,31,21,11
RYDE,24043,17869,12720,8682,5631,3148
SALISBURY,27610,20278,13842,8537,4775,2141
SANDSTONE,42,30,16,1,0,0
SCENIC RIM,11599,8724,5926,3473,1883,883
SERPENTINE-JARRAHDALE,4026,2713,1725,892,422,193
SHARK BAY,272,195,116,42,15,9
SHELLHARBOUR,16167,12037,8379,5210,2940,1438
SHOALHAVEN,35318,27348,19200,11726,6698,3220
SINGLETON,4460,3134,2059,1214,678,341
SNOWY MONARO REGIONAL,5354,3975,2691,1640,913,435
SNOWY VALLEYS,4296,3207,2209,1358,758,377
SOMERSET,6852,5016,3209,1688,816,354
SORELL,3823,2773,1811,1027,537,265
SOUTH BURNETT,9917,7606,5122,2982,1514,719
SOUTH GIPPSLAND,9271,7051,4747,2837,1593,810
SOUTH PERTH,9713,7163,4797,3072,1889,1076
SOUTHERN DOWNS,11015,8451,5797,3508,2002,980
SOUTHERN GRAMPIANS,5013,3812,2671,1722,1080,591
SOUTHERN MALLEE,613,485,330,220,137,69
SOUTHERN MIDLANDS,1568,1101,694,386,208,107
STIRLING,46654,35224,25322,16905,10346,5308
STONNINGTON,22540,17377,12525,8205,5065,2627
STRATHBOGIE,3957,2984,2029,1231,727,362
STRATHFIELD,7324,5332,3799,2606,1655,895
STREAKY BAY,634,431,262,159,83,48
SUBIACO,4232,3283,2310,1468,869,430
SUNSHINE COAST,84374,64465,45286,28112,16264,8132
SURF COAST,7860,5715,3748,2177,1206,588
SUTHERLAND SHIRE,52174,38879,27599,17711,10988,6000
SWAN,21245,14714,9616,5717,3135,1430
SWAN HILL,5238,3897,2710,1804,1083,568
SYDNEY,28519,20086,13252,7783,4432,2180
TABLELANDS,8097,6121,4180,2518,1395,651
TAMMIN,85,59,41,21,5,2
TAMWORTH REGIONAL,15151,11456,8043,5147,2992,1481
TASMAN,999,738,480,290,147,74
TATIARA,1699,1268,862,553,339,190
TEA TREE GULLY,24449,18516,12915,7912,4451,2167
TEMORA,1924,1506,1078,682,404,193
TENTERFIELD,2558,1892,1245,675,370,166
THE COORONG,1668,1235,868,517,260,112
THE HILLS SHIRE,32496,23399,15346,8667,4605,2017
THREE SPRINGS,150,122,71,43,19,12
TIWI ISLANDS,239,132,60,27,18,9
TOODYAY,1479,1092,651,324,141,47
TOOWOOMBA,39299,29838,21128,13421,7815,3936
TORRES,405,228,124,61,30,16
TORRES STRAIT ISLAND,466,274,144,74,22,8
TOWNSVILLE,33641,23974,15734,9260,4852,2229
TOWONG,2101,1580,1090,659,359,195
TRAYNING,109,84,61,41,16,9
TUMBY BAY,973,735,533,330,185,92
TWEED,30979,23934,17239,11353,6909,3585
UNINCORP. OTHER TERRITORIES,1132,785,466,273,125,54
UNINCORPORATED ACT,73299,53645,36267,21913,12636,6269
UNINCORPORATED NSW,241,176,122,79,40,20
UNINCORPORATED NT,900,545,242,90,27,11
UNINCORPORATED SA,746,492,278,146,74,35
UNINCORPORATED VIC,150,115,67,37,11,3
UNLEY,9792,7471,5238,3480,2279,1355
UPPER GASCOYNE,30,21,10,5,3,1
UPPER HUNTER SHIRE,3527,2626,1829,1169,713,351
UPPER LACHLAN SHIRE,2449,1870,1290,825,438,224
URALLA,1748,1257,847,480,223,115
VICTOR HARBOR,7203,6037,4463,2749,1607,837
VICTORIA DALY,352,220,126,68,30,11
VICTORIA PARK,6708,4973,3542,2444,1660,1025
VICTORIA PLAINS,210,151,110,64,28,11
VINCENT,5601,3979,2702,1756,1087,559
WAGAIT,132,93,42,16,11,2
WAGGA WAGGA,13281,9809,6867,4470,2650,1372
WAGIN,598,452,297,173,89,43
WAKEFIELD,1876,1388,931,570,350,182
WALCHA,1053,819,577,365,182,85
WALGETT,1620,1168,772,440,195,73
WALKERVILLE,2251,1728,1252,818,490,257
WANDERING,125,97,65,45,20,6
WANGARATTA,8534,6556,4617,3041,1832,993
WANNEROO,29301,20996,14017,8359,4466,2060
WARATAH - WYNYARD,4202,3148,2200,1338,739,322
WAROONA,1189,892,584,390,218,104
WARREN,732,569,390,241,127,55
WARRNAMBOOL,8763,6602,4671,3053,1873,1034
WARRUMBUNGLE SHIRE,3202,2483,1786,1100,649,320
WATTLE RANGE,3555,2620,1714,1061,609,318
WAVERLEY,12479,9521,6770,4403,2857,1640
WEDDIN,1327,1022,723,453,262,127
WEIPA,340,191,92,24,14,7
WELLINGTON,12144,8951,5928,3566,2010,1009
WENTWORTH,2013,1483,1022,593,320,148
WEST ARNHEM,415,205,108,60,29,17
WEST ARTHUR,225,144,97,52,27,18
WEST COAST,1081,732,470,262,113,40
WEST DALY,173,65,25,7,2,0
WEST TAMAR,6869,5059,3412,2022,1060,519
WEST TORRENS,13473,10576,8024,5678,3742,2110
WEST WIMMERA,1220,944,689,459,272,126
WESTERN DOWNS,7434,5539,3783,2307,1322,631
WESTONIA,80,43,30,17,9,3
WHITEHORSE,37702,29211,21839,15204,9748,5242
WHITSUNDAY,7593,5329,3352,1836,924,402
WHITTLESEA,35868,25979,17525,10683,6041,2637
WHYALLA,5094,3820,2753,1778,969,459
